line,name,하차총승객수,gu_name,dong_name,full_name
01호선,남영,247855.0588235294,용산구,남영동,서울특별시 용산구 남영동
01호선,용산,934132.5294117647,용산구,한강로동,서울특별시 용산구 한강로동
01호선,노량진,897086.1764705882,동작구,노량진1동,서울특별시 동작구 노량진1동
01호선,대방,334581.6176470588,영등포구,신길7동,서울특별시 영등포구 신길7동
01호선,영등포,1080642.3823529412,영등포구,영등포본동,서울특별시 영등포구 영등포본동
01호선,신도림,1355686.1470588236,구로구,구로5동,서울특별시 구로구 구로5동
01호선,회기,613004.7647058824,동대문구,휘경1동,서울특별시 동대문구 휘경1동
01호선,외대앞,198680.70588235295,동대문구,이문1동,서울특별시 동대문구 이문1동
01호선,신이문,203074.11764705883,동대문구,이문2동,서울특별시 동대문구 이문2동
01호선,광운대,203439.41176470587,노원구,월계1동,서울특별시 노원구 월계1동
01호선,월계,159897.17647058822,노원구,월계2동,서울특별시 노원구 월계2동
01호선,녹천,101455.41176470589,도봉구,창1동,서울특별시 도봉구 창1동
01호선,창동,708694.3529411765,도봉구,창5동,서울특별시 도봉구 창5동
01호선,신길,306065.1176470588,영등포구,신길1동,서울특별시 영등포구 신길1동
01호선,석계,567353.4117647059,성북구,석관동,서울특별시 성북구 석관동
01호선,구로,482301.5588235294,구로구,구로5동,서울특별시 구로구 구로5동
01호선,가산디지털단지,1544755.3823529412,금천구,가산동,서울특별시 금천구 가산동
01호선,금천구청,297092.5,금천구,시흥1동,서울특별시 금천구 시흥1동
01호선,독산,437930.70588235295,금천구,가산동,서울특별시 금천구 가산동
01호선,개봉,554973.6176470588,구로구,개봉2동,서울특별시 구로구 개봉2동
01호선,오류동,289309.67647058825,구로구,오류2동,서울특별시 구로구 오류2동
01호선,구일,175650.14705882352,구로구,구로2동,서울특별시 구로구 구로2동
01호선,온수,0.0,구로구,수궁동,서울특별시 구로구 수궁동
01호선,방학,245313.70588235295,도봉구,방학1동,서울특별시 도봉구 방학1동
01호선,도봉,149583.88235294117,도봉구,도봉2동,서울특별시 도봉구 도봉2동
01호선,도봉산,434984.26470588235,도봉구,도봉2동,서울특별시 도봉구 도봉2동
01호선,종로3가,1236450.794117647,종로구,종로1.2.3.4가동,서울특별시 종로구 종로1.2.3.4가동
01호선,종로5가,569729.1176470588,종로구,종로5.6가동,서울특별시 종로구 종로5.6가동
01호선,동대문,810320.5588235294,종로구,종로5.6가동,서울특별시 종로구 종로5.6가동
01호선,신설동,489733.35294117645,동대문구,용신동,서울특별시 동대문구 용신동
01호선,제기동,462734.6176470588,동대문구,용신동,서울특별시 동대문구 용신동
01호선,청량리,0.0,동대문구,전농1동,서울특별시 동대문구 전농1동
01호선,동묘앞,477131.4117647059,종로구,숭인2동,서울특별시 종로구 숭인2동
01호선,서울,0.0,중구,회현동,서울특별시 중구 회현동
01호선,시청,1059856.0294117648,중구,소공동,서울특별시 중구 소공동
01호선,종각,834704.1176470588,종로구,종로1.2.3.4가동,서울특별시 종로구 종로1.2.3.4가동
02호선,강변,0.0,광진구,구의3동,서울특별시 광진구 구의3동
02호선,잠실나루,342217.4705882353,송파구,잠실6동,서울특별시 송파구 잠실6동
02호선,잠실,0.0,송파구,잠실6동,서울특별시 송파구 잠실6동
02호선,잠실새내,543578.7941176471,송파구,잠실2동,서울특별시 송파구 잠실2동
02호선,종합운동장,354646.67647058825,송파구,잠실7동,서울특별시 송파구 잠실7동
02호선,삼성,0.0,강남구,대치2동,서울특별시 강남구 대치2동
02호선,선릉,1644505.5588235294,강남구,대치4동,서울특별시 강남구 대치4동
02호선,역삼,1302567.9411764706,강남구,역삼1동,서울특별시 강남구 역삼1동
02호선,강남,2093481.5588235294,서초구,서초2동,서울특별시 서초구 서초2동
02호선,교대,0.0,서초구,서초1동,서울특별시 서초구 서초1동
02호선,방배,438926.5588235294,서초구,방배3동,서울특별시 서초구 방배3동
02호선,사당,1607659.0588235294,관악구,남현동,서울특별시 관악구 남현동
02호선,낙성대,559490.3333333334,관악구,인헌동,서울특별시 관악구 인헌동
02호선,서울대입구,0.0,관악구,중앙동,서울특별시 관악구 중앙동
